Book ID,Input File Path,Timestamp,Status,Failure Stage,Error Message,Retry Attempts,Total Audio Files,Total Audio Duration (s),Processing Time (ms),Error Details
25,FinalAllSummaries/25.md,2025-07-02T21:46:43.813Z,SUCCESS,,,0,0,0,0,
26,FinalAllSummaries/26.md,2025-07-02T21:46:44.817Z,SUCCESS,,,0,0,0,0,
27,FinalAllSummaries/27.md,2025-07-02T21:46:45.818Z,SUCCESS,,,0,0,0,0,
28,FinalAllSummaries/28.md,2025-07-02T21:46:46.822Z,SUCCESS,,,0,0,0,1,
29,FinalAllSummaries/29.md,2025-07-02T21:46:47.826Z,SUCCESS,,,0,0,0,0,
30,FinalAllSummaries/30.md,2025-07-02T21:46:48.828Z,SUCCESS,,,0,0,0,0,
31,FinalAllSummaries/31.md,2025-07-02T21:46:49.830Z,SUCCESS,,,0,0,0,1,
32,FinalAllSummaries/32.md,2025-07-02T21:46:50.833Z,SUCCESS,,,0,0,0,0,
33,FinalAllSummaries/33.md,2025-07-02T21:46:51.836Z,SUCCESS,,,0,0,0,0,
34,FinalAllSummaries/34.md,2025-07-02T21:46:52.838Z,SUCCESS,,,0,0,0,0,
36,FinalAllSummaries/36.md,2025-07-02T21:46:53.842Z,SUCCESS,,,0,0,0,0,
42,FinalAllSummaries/42.md,2025-07-02T21:46:54.847Z,SUCCESS,,,0,0,0,1,
43,FinalAllSummaries/43.md,2025-07-02T21:46:55.851Z,SUCCESS,,,0,0,0,1,
49,FinalAllSummaries/49.md,2025-07-02T21:46:56.853Z,SUCCESS,,,0,0,0,0,
54,FinalAllSummaries/54.md,2025-07-02T21:46:57.855Z,SUCCESS,,,0,0,0,0,
55,FinalAllSummaries/55.md,2025-07-02T21:46:58.857Z,SUCCESS,,,0,0,0,0,
56,FinalAllSummaries/56.md,2025-07-02T21:46:59.860Z,SUCCESS,,,0,0,0,1,
58,FinalAllSummaries/58.md,2025-07-02T21:47:00.864Z,SUCCESS,,,0,0,0,1,
59,FinalAllSummaries/59.md,2025-07-02T21:47:01.867Z,SUCCESS,,,0,0,0,0,
64,FinalAllSummaries/64.md,2025-07-02T21:47:02.869Z,SUCCESS,,,0,0,0,0,
65,FinalAllSummaries/65.md,2025-07-02T21:47:03.871Z,SUCCESS,,,0,0,0,0,
77,FinalAllSummaries/77.md,2025-07-02T21:47:04.873Z,SUCCESS,,,0,0,0,1,
79,FinalAllSummaries/79.md,2025-07-02T21:47:05.874Z,SUCCESS,,,0,0,0,0,
80,FinalAllSummaries/80.md,2025-07-02T21:47:06.877Z,SUCCESS,,,0,0,0,1,
81,FinalAllSummaries/81.md,2025-07-02T21:47:07.879Z,SUCCESS,,,0,0,0,0,
82,FinalAllSummaries/82.md,2025-07-02T21:47:08.881Z,SUCCESS,,,0,0,0,0,
87,FinalAllSummaries/87.md,2025-07-02T21:47:09.883Z,SUCCESS,,,0,0,0,0,
89,FinalAllSummaries/89.md,2025-07-02T21:47:10.885Z,SUCCESS,,,0,0,0,1,
90,FinalAllSummaries/90.md,2025-07-02T21:47:11.887Z,SUCCESS,,,0,0,0,0,
92,FinalAllSummaries/92.md,2025-07-02T21:47:12.889Z,SUCCESS,,,0,0,0,0,
96,FinalAllSummaries/96.md,2025-07-02T21:47:13.891Z,SUCCESS,,,0,0,0,0,
98,FinalAllSummaries/98.md,2025-07-02T21:47:14.894Z,SUCCESS,,,0,0,0,1,
101,FinalAllSummaries/101.md,2025-07-02T21:47:15.896Z,SUCCESS,,,0,0,0,0,
102,FinalAllSummaries/102.md,2025-07-02T21:47:16.898Z,SUCCESS,,,0,0,0,0,
103,FinalAllSummaries/103.md,2025-07-02T21:47:17.902Z,SUCCESS,,,0,0,0,1,
104,FinalAllSummaries/104.md,2025-07-02T21:47:18.904Z,SUCCESS,,,0,0,0,0,
105,FinalAllSummaries/105.md,2025-07-02T21:47:19.907Z,SUCCESS,,,0,0,0,1,
108,FinalAllSummaries/108.md,2025-07-02T21:47:20.910Z,SUCCESS,,,0,0,0,1,
12,FinalAllSummaries/12.md,2025-07-02T21:51:36.063Z,SUCCESS,,,0,0,0,1,
19,FinalAllSummaries/19.md,2025-07-02T21:51:37.066Z,SUCCESS,,,0,0,0,1,
20,FinalAllSummaries/20.md,2025-07-02T21:51:38.069Z,SUCCESS,,,0,0,0,1,
22,FinalAllSummaries/22.md,2025-07-02T21:51:39.072Z,SUCCESS,,,0,0,0,1,
25,FinalAllSummaries/25.md,2025-07-02T21:51:40.076Z,SUCCESS,,,0,0,0,0,
26,FinalAllSummaries/26.md,2025-07-02T21:51:41.079Z,SUCCESS,,,0,0,0,0,
27,FinalAllSummaries/27.md,2025-07-02T21:51:42.083Z,SUCCESS,,,0,0,0,1,
28,FinalAllSummaries/28.md,2025-07-02T21:51:43.087Z,SUCCESS,,,0,0,0,0,
29,FinalAllSummaries/29.md,2025-07-02T21:51:44.092Z,SUCCESS,,,0,0,0,2,
30,FinalAllSummaries/30.md,2025-07-02T21:51:45.096Z,SUCCESS,,,0,0,0,1,
31,FinalAllSummaries/31.md,2025-07-02T21:51:46.101Z,SUCCESS,,,0,0,0,0,
32,FinalAllSummaries/32.md,2025-07-02T21:51:47.105Z,SUCCESS,,,0,0,0,1,
33,FinalAllSummaries/33.md,2025-07-02T21:51:48.109Z,SUCCESS,,,0,0,0,2,
34,FinalAllSummaries/34.md,2025-07-02T21:51:49.113Z,SUCCESS,,,0,0,0,1,
36,FinalAllSummaries/36.md,2025-07-02T21:51:50.115Z,SUCCESS,,,0,0,0,0,
42,FinalAllSummaries/42.md,2025-07-02T21:51:51.117Z,SUCCESS,,,0,0,0,1,
43,FinalAllSummaries/43.md,2025-07-02T21:51:52.122Z,SUCCESS,,,0,0,0,1,
49,FinalAllSummaries/49.md,2025-07-02T21:51:53.125Z,SUCCESS,,,0,0,0,1,
54,FinalAllSummaries/54.md,2025-07-02T21:51:54.130Z,SUCCESS,,,0,0,0,1,
55,FinalAllSummaries/55.md,2025-07-02T21:51:55.135Z,SUCCESS,,,0,0,0,1,
56,FinalAllSummaries/56.md,2025-07-02T21:51:56.139Z,SUCCESS,,,0,0,0,1,
58,FinalAllSummaries/58.md,2025-07-02T21:51:57.143Z,SUCCESS,,,0,0,0,0,
59,FinalAllSummaries/59.md,2025-07-02T21:51:58.148Z,SUCCESS,,,0,0,0,1,
64,FinalAllSummaries/64.md,2025-07-02T21:51:59.152Z,SUCCESS,,,0,0,0,1,
65,FinalAllSummaries/65.md,2025-07-02T21:52:00.156Z,SUCCESS,,,0,0,0,1,
77,FinalAllSummaries/77.md,2025-07-02T21:52:01.162Z,SUCCESS,,,0,0,0,2,
79,FinalAllSummaries/79.md,2025-07-02T21:52:02.166Z,SUCCESS,,,0,0,0,1,
80,FinalAllSummaries/80.md,2025-07-02T21:52:03.171Z,SUCCESS,,,0,0,0,1,
81,FinalAllSummaries/81.md,2025-07-02T21:52:04.175Z,SUCCESS,,,0,0,0,0,
82,FinalAllSummaries/82.md,2025-07-02T21:52:05.178Z,SUCCESS,,,0,0,0,1,
87,FinalAllSummaries/87.md,2025-07-02T21:52:06.182Z,SUCCESS,,,0,0,0,1,
89,FinalAllSummaries/89.md,2025-07-02T21:52:07.186Z,SUCCESS,,,0,0,0,1,
90,FinalAllSummaries/90.md,2025-07-02T21:52:08.189Z,SUCCESS,,,0,0,0,1,
92,FinalAllSummaries/92.md,2025-07-02T21:52:09.194Z,SUCCESS,,,0,0,0,1,
96,FinalAllSummaries/96.md,2025-07-02T21:52:10.197Z,SUCCESS,,,0,0,0,1,
98,FinalAllSummaries/98.md,2025-07-02T21:52:11.202Z,SUCCESS,,,0,0,0,1,
101,FinalAllSummaries/101.md,2025-07-02T21:52:12.206Z,SUCCESS,,,0,0,0,1,
102,FinalAllSummaries/102.md,2025-07-02T21:52:13.209Z,SUCCESS,,,0,0,0,0,
103,FinalAllSummaries/103.md,2025-07-02T21:52:14.213Z,SUCCESS,,,0,0,0,0,
104,FinalAllSummaries/104.md,2025-07-02T21:52:15.216Z,SUCCESS,,,0,0,0,1,
105,FinalAllSummaries/105.md,2025-07-02T21:52:16.221Z,SUCCESS,,,0,0,0,1,
108,FinalAllSummaries/108.md,2025-07-02T21:57:03.427Z,SUCCESS,,,0,12,1635.9437920000003,286202,
12,FinalAllSummaries/12.md,2025-07-02T21:59:39.350Z,SUCCESS,,,0,0,0,0,
19,FinalAllSummaries/19.md,2025-07-02T21:59:40.356Z,SUCCESS,,,0,0,0,0,
20,FinalAllSummaries/20.md,2025-07-02T21:59:41.358Z,SUCCESS,,,0,0,0,0,
22,FinalAllSummaries/22.md,2025-07-02T21:59:42.359Z,SUCCESS,,,0,0,0,0,
25,FinalAllSummaries/25.md,2025-07-02T21:59:43.362Z,SUCCESS,,,0,0,0,0,
26,FinalAllSummaries/26.md,2025-07-02T21:59:44.365Z,SUCCESS,,,0,0,0,0,
27,FinalAllSummaries/27.md,2025-07-02T21:59:45.368Z,SUCCESS,,,0,0,0,1,
28,FinalAllSummaries/28.md,2025-07-02T21:59:46.371Z,SUCCESS,,,0,0,0,0,
29,FinalAllSummaries/29.md,2025-07-02T21:59:47.375Z,SUCCESS,,,0,0,0,0,
30,FinalAllSummaries/30.md,2025-07-02T21:59:48.379Z,SUCCESS,,,0,0,0,1,
31,FinalAllSummaries/31.md,2025-07-02T21:59:49.380Z,SUCCESS,,,0,0,0,0,
32,FinalAllSummaries/32.md,2025-07-02T21:59:50.384Z,SUCCESS,,,0,0,0,1,
33,FinalAllSummaries/33.md,2025-07-02T21:59:51.387Z,SUCCESS,,,0,0,0,1,
34,FinalAllSummaries/34.md,2025-07-02T21:59:52.390Z,SUCCESS,,,0,0,0,1,
36,FinalAllSummaries/36.md,2025-07-02T21:59:53.392Z,SUCCESS,,,0,0,0,0,
42,FinalAllSummaries/42.md,2025-07-02T21:59:54.394Z,SUCCESS,,,0,0,0,0,
43,FinalAllSummaries/43.md,2025-07-02T21:59:55.396Z,SUCCESS,,,0,0,0,0,
49,FinalAllSummaries/49.md,2025-07-02T21:59:56.398Z,SUCCESS,,,0,0,0,0,
54,FinalAllSummaries/54.md,2025-07-02T21:59:57.400Z,SUCCESS,,,0,0,0,0,
55,FinalAllSummaries/55.md,2025-07-02T21:59:58.401Z,SUCCESS,,,0,0,0,0,
56,FinalAllSummaries/56.md,2025-07-02T21:59:59.403Z,SUCCESS,,,0,0,0,0,
58,FinalAllSummaries/58.md,2025-07-02T22:00:00.405Z,SUCCESS,,,0,0,0,0,
59,FinalAllSummaries/59.md,2025-07-02T22:00:01.407Z,SUCCESS,,,0,0,0,0,
64,FinalAllSummaries/64.md,2025-07-02T22:00:02.410Z,SUCCESS,,,0,0,0,1,
65,FinalAllSummaries/65.md,2025-07-02T22:00:03.414Z,SUCCESS,,,0,0,0,0,
77,FinalAllSummaries/77.md,2025-07-02T22:00:04.417Z,SUCCESS,,,0,0,0,1,
79,FinalAllSummaries/79.md,2025-07-02T22:00:05.419Z,SUCCESS,,,0,0,0,0,
80,FinalAllSummaries/80.md,2025-07-02T22:00:06.422Z,SUCCESS,,,0,0,0,1,
81,FinalAllSummaries/81.md,2025-07-02T22:00:07.425Z,SUCCESS,,,0,0,0,0,
82,FinalAllSummaries/82.md,2025-07-02T22:00:08.427Z,SUCCESS,,,0,0,0,0,
87,FinalAllSummaries/87.md,2025-07-02T22:00:09.429Z,SUCCESS,,,0,0,0,0,
89,FinalAllSummaries/89.md,2025-07-02T22:00:10.430Z,SUCCESS,,,0,0,0,0,
90,FinalAllSummaries/90.md,2025-07-02T22:00:11.433Z,SUCCESS,,,0,0,0,1,
92,FinalAllSummaries/92.md,2025-07-02T22:00:12.435Z,SUCCESS,,,0,0,0,1,
96,FinalAllSummaries/96.md,2025-07-02T22:00:13.436Z,SUCCESS,,,0,0,0,0,
98,FinalAllSummaries/98.md,2025-07-02T22:00:14.438Z,SUCCESS,,,0,0,0,1,
101,FinalAllSummaries/101.md,2025-07-02T22:00:15.441Z,SUCCESS,,,0,0,0,0,
102,FinalAllSummaries/102.md,2025-07-02T22:00:16.444Z,SUCCESS,,,0,0,0,1,
103,FinalAllSummaries/103.md,2025-07-02T22:00:17.448Z,SUCCESS,,,0,0,0,1,
104,FinalAllSummaries/104.md,2025-07-02T22:00:18.452Z,SUCCESS,,,0,0,0,0,
105,FinalAllSummaries/105.md,2025-07-02T22:00:19.457Z,SUCCESS,,,0,0,0,1,
108,FinalAllSummaries/108.md,2025-07-02T22:00:20.460Z,SUCCESS,,,0,0,0,1,
111,FinalAllSummaries/111.md,2025-07-02T22:05:59.938Z,SUCCESS,,,0,12,2388.796541,338476,
112,FinalAllSummaries/112.md,2025-07-02T22:12:20.126Z,SUCCESS,,,0,12,2267.514167,379186,
113,FinalAllSummaries/113.md,2025-07-02T22:17:14.678Z,SUCCESS,,,0,12,2053.390543,293549,
115,FinalAllSummaries/115.md,2025-07-02T22:22:10.287Z,SUCCESS,,,0,12,1929.382666,294606,
116,FinalAllSummaries/116.md,2025-07-02T22:27:23.456Z,SUCCESS,,,0,12,2224.0170820000003,312165,
119,FinalAllSummaries/119.md,2025-07-02T22:31:43.666Z,SUCCESS,,,0,12,1945.178959,259206,
120,FinalAllSummaries/120.md,2025-07-02T22:38:58.383Z,SUCCESS,,,0,15,2469.0474169999998,433714,
121,FinalAllSummaries/121.md,2025-07-02T22:44:45.649Z,SUCCESS,,,0,12,1846.7155830000002,346262,
122,FinalAllSummaries/122.md,2025-07-02T22:49:09.007Z,SUCCESS,,,0,12,1935.0662510000002,262354,
125,FinalAllSummaries/125.md,2025-07-02T22:53:59.058Z,SUCCESS,,,0,12,1788.559459,289048,
126,FinalAllSummaries/126.md,2025-07-02T22:59:34.276Z,SUCCESS,,,0,12,2240.2557500000003,334215,
127,FinalAllSummaries/127.md,2025-07-02T23:08:06.766Z,SUCCESS,,,0,14,2583.2660410000003,511486,
131,FinalAllSummaries/131.md,2025-07-02T23:13:53.684Z,SUCCESS,,,0,13,2202.8236660000002,345913,
132,FinalAllSummaries/132.md,2025-07-02T23:20:52.950Z,SUCCESS,,,0,13,2213.146209,418263,
133,FinalAllSummaries/133.md,2025-07-02T23:27:16.467Z,SUCCESS,,,0,12,1819.4534590000003,382514,
136,FinalAllSummaries/136.md,2025-07-02T23:31:42.185Z,SUCCESS,,,0,12,1974.9491240000002,264714,
138,FinalAllSummaries/138.md,2025-07-02T23:36:45.652Z,SUCCESS,,,0,12,2029.1293340000002,302462,
141,FinalAllSummaries/141.md,2025-07-02T23:41:49.935Z,SUCCESS,,,0,12,2163.879167,303280,
142,FinalAllSummaries/142.md,2025-07-02T23:49:20.301Z,SUCCESS,,,0,12,2183.110666,449361,
146,FinalAllSummaries/146.md,2025-07-02T23:56:10.432Z,SUCCESS,,,0,12,2185.5581679999996,409127,
147,FinalAllSummaries/147.md,2025-07-03T00:01:19.735Z,SUCCESS,,,0,12,2101.101875,308297,
150,FinalAllSummaries/150.md,2025-07-03T00:07:33.306Z,SUCCESS,,,0,12,1978.4645819999998,372567,
151,FinalAllSummaries/151.md,2025-07-03T00:12:44.611Z,SUCCESS,,,0,12,1984.8760819999998,310302,
154,FinalAllSummaries/154.md,2025-07-03T00:20:00.750Z,SUCCESS,,,0,12,2072.6857099999997,435136,
155,FinalAllSummaries/155.md,2025-07-03T00:26:09.697Z,SUCCESS,,,0,12,1827.7495020000001,367944,
158,FinalAllSummaries/158.md,2025-07-03T00:30:58.460Z,SUCCESS,,,0,12,1740.09625,287760,
160,FinalAllSummaries/160.md,2025-07-03T00:37:35.841Z,SUCCESS,,,0,12,2246.586539,396378,
161,FinalAllSummaries/161.md,2025-07-03T00:46:17.449Z,SUCCESS,,,0,17,2480.018876,520603,
163,FinalAllSummaries/163.md,2025-07-03T00:50:36.189Z,SUCCESS,,,0,12,1888.349458,257735,
164,FinalAllSummaries/164.md,2025-07-03T00:56:06.780Z,SUCCESS,,,0,12,2264.189831,329587,
165,FinalAllSummaries/165.md,2025-07-03T01:01:20.466Z,SUCCESS,,,0,12,2276.079167,312683,
167,FinalAllSummaries/167.md,2025-07-03T01:07:28.058Z,SUCCESS,,,0,12,1683.3847500000002,366589,
168,FinalAllSummaries/168.md,2025-07-03T01:12:11.276Z,SUCCESS,,,0,12,1973.6844149999997,282214,
169,FinalAllSummaries/169.md,2025-07-03T01:17:12.166Z,SUCCESS,,,0,12,1253.657833,299886,
170,FinalAllSummaries/170.md,2025-07-03T01:21:59.059Z,SUCCESS,,,0,12,1975.8856250000003,285891,
172,FinalAllSummaries/172.md,2025-07-03T01:28:39.841Z,SUCCESS,,,0,12,2164.3224569999998,399778,
173,FinalAllSummaries/173.md,2025-07-03T01:35:17.460Z,SUCCESS,,,0,12,2201.394666,396616,
177,FinalAllSummaries/177.md,2025-07-03T01:41:16.996Z,SUCCESS,,,0,12,2214.800874,358533,
179,FinalAllSummaries/179.md,2025-07-03T01:47:27.931Z,SUCCESS,,,0,12,2410.3957060000002,369931,
180,FinalAllSummaries/180.md,2025-07-03T01:54:13.924Z,SUCCESS,,,0,12,2425.6231249999996,404990,
182,FinalAllSummaries/182.md,2025-07-03T01:59:34.660Z,SUCCESS,,,0,12,1945.2545429999998,319733,
183,FinalAllSummaries/183.md,2025-07-03T02:04:40.617Z,SUCCESS,,,0,10,1828.1833330000002,304954,
184,FinalAllSummaries/184.md,2025-07-03T02:09:24.324Z,SUCCESS,,,0,12,2032.6497080000001,282704,
185,FinalAllSummaries/185.md,2025-07-03T02:11:20.376Z,SUCCESS,,,0,8,736.5557089999999,115049,
186,FinalAllSummaries/186.md,2025-07-03T02:16:28.280Z,SUCCESS,,,0,12,1892.2077480000003,306901,
187,FinalAllSummaries/187.md,2025-07-03T02:24:11.775Z,SUCCESS,,,0,14,2535.176417,462492,
192,FinalAllSummaries/192.md,2025-07-03T02:30:57.206Z,SUCCESS,,,0,12,2006.29475,404427,
197,FinalAllSummaries/197.md,2025-07-03T02:37:21.110Z,SUCCESS,,,0,12,1905.361584,382901,
198,FinalAllSummaries/198.md,2025-07-03T02:42:06.892Z,SUCCESS,,,0,11,1883.669835,284779,
201,FinalAllSummaries/201.md,2025-07-03T02:50:03.098Z,SUCCESS,,,0,12,2232.773793,475203,
202,FinalAllSummaries/202.md,2025-07-03T02:57:11.108Z,SUCCESS,,,0,12,2104.689917,427007,
203,FinalAllSummaries/203.md,2025-07-03T03:02:04.237Z,SUCCESS,,,0,12,1417.539834,292126,
204,FinalAllSummaries/204.md,2025-07-03T03:07:38.151Z,SUCCESS,,,0,12,2228.599959,332911,
205,FinalAllSummaries/205.md,2025-07-03T03:14:35.333Z,SUCCESS,,,0,16,2400.650503,416180,
207,FinalAllSummaries/207.md,2025-07-03T03:19:13.914Z,SUCCESS,,,0,12,1575.5156250000002,277577,
208,FinalAllSummaries/208.md,2025-07-03T03:25:35.719Z,SUCCESS,,,0,12,1949.035708,380803,
209,FinalAllSummaries/209.md,2025-07-03T03:30:47.739Z,SUCCESS,,,0,12,2083.587959,311017,
210,FinalAllSummaries/210.md,2025-07-03T03:38:45.115Z,SUCCESS,,,0,17,2626.4340399999996,476373,
211,FinalAllSummaries/211.md,2025-07-03T03:43:50.679Z,SUCCESS,,,0,12,2080.6167100000002,304561,
213,FinalAllSummaries/213.md,2025-07-03T03:49:14.979Z,SUCCESS,,,0,12,2319.4180830000005,323297,
216,FinalAllSummaries/216.md,2025-07-03T03:55:29.416Z,SUCCESS,,,0,12,1812.4055010000002,373434,
220,FinalAllSummaries/220.md,2025-07-03T04:01:34.868Z,SUCCESS,,,0,12,2038.6200840000004,364450,
222,FinalAllSummaries/222.md,2025-07-03T04:06:24.308Z,SUCCESS,,,0,7,1367.0547499999998,288437,
227,FinalAllSummaries/227.md,2025-07-03T04:13:31.962Z,SUCCESS,,,0,12,2092.3786649999997,426651,
228,FinalAllSummaries/228.md,2025-07-03T04:20:02.225Z,SUCCESS,,,0,12,1875.5236670000002,389260,
230,FinalAllSummaries/230.md,2025-07-03T04:28:48.201Z,SUCCESS,,,0,14,2835.7036249999996,524973,
231,FinalAllSummaries/231.md,2025-07-03T04:36:49.931Z,SUCCESS,,,0,12,2411.1160010000003,480727,
232,FinalAllSummaries/232.md,2025-07-03T04:43:50.998Z,SUCCESS,,,0,14,2801.4300399999997,420064,
233,FinalAllSummaries/233.md,2025-07-03T04:47:44.258Z,SUCCESS,,,0,12,1642.6970019999997,232256,
234,FinalAllSummaries/234.md,2025-07-03T04:52:20.787Z,SUCCESS,,,0,12,1890.681791,275527,
235,FinalAllSummaries/235.md,2025-07-03T04:56:30.481Z,SUCCESS,,,0,12,2172.937128,248692,
236,FinalAllSummaries/236.md,2025-07-03T05:01:39.434Z,SUCCESS,,,0,14,2383.133207,307951,
238,FinalAllSummaries/238.md,2025-07-03T05:07:09.495Z,SUCCESS,,,0,12,2039.374626,329058,
243,FinalAllSummaries/243.md,2025-07-03T05:13:12.872Z,SUCCESS,,,0,12,2425.2287509999996,362374,
246,FinalAllSummaries/246.md,2025-07-03T05:19:05.890Z,SUCCESS,,,0,12,2066.554916,352014,
247,FinalAllSummaries/247.md,2025-07-03T05:25:08.886Z,SUCCESS,,,0,12,2478.677082,361992,
248,FinalAllSummaries/248.md,2025-07-03T05:30:25.238Z,SUCCESS,,,0,12,1906.0631230000001,315349,
252,FinalAllSummaries/252.md,2025-07-03T05:35:14.438Z,SUCCESS,,,0,12,2067.1445000000003,288197,
253,FinalAllSummaries/253.md,2025-07-03T05:39:51.144Z,SUCCESS,,,0,12,1929.4530429999998,275703,
254,FinalAllSummaries/254.md,2025-07-03T05:43:45.178Z,SUCCESS,,,0,12,1908.1866679999996,233030,
255,FinalAllSummaries/255.md,2025-07-03T05:48:21.041Z,SUCCESS,,,0,12,2055.013208,274861,
256,FinalAllSummaries/256.md,2025-07-03T05:53:10.055Z,SUCCESS,,,0,12,1679.30475,288011,
257,FinalAllSummaries/257.md,2025-07-03T05:58:35.051Z,SUCCESS,,,0,12,2416.402376,323993,
258,FinalAllSummaries/258.md,2025-07-03T06:03:50.630Z,SUCCESS,,,0,12,2163.2855849999996,314576,
259,FinalAllSummaries/259.md,2025-07-03T06:08:34.329Z,SUCCESS,,,0,12,2090.892085,282695,
260,FinalAllSummaries/260.md,2025-07-03T06:12:42.875Z,SUCCESS,,,0,12,2270.8484169999997,247543,
262,FinalAllSummaries/262.md,2025-07-03T06:18:56.472Z,SUCCESS,,,0,13,2430.6755409999996,372595,
264,FinalAllSummaries/264.md,2025-07-03T06:25:11.658Z,SUCCESS,,,0,12,1976.704584,374182,
265,FinalAllSummaries/265.md,2025-07-03T06:32:08.670Z,SUCCESS,,,0,12,2376.375502,416009,
12,FinalAllSummaries/12.md,2025-07-03T07:14:10.619Z,SUCCESS,,,0,0,0,0,
19,FinalAllSummaries/19.md,2025-07-03T07:14:11.623Z,SUCCESS,,,0,0,0,1,
20,FinalAllSummaries/20.md,2025-07-03T07:14:12.626Z,SUCCESS,,,0,0,0,1,
